Accession,FullDescription,Description,Species,Biological Process,Cellular Component,Molecular Function,WikiPathways,Reactome Pathways,KEGG Pathways
P01024,Complement C3 OS=Homo sapiens OX=9606 GN=C3 PE=1 SV=2,Complement C3,Homo sapiens,cell-cell signaling;cell organization and biogenesis;protein metabolism;other metabolic processes;stress response;transport;developmental processes;signal transduction;other biological processes,non-structural extracellular;plasma membrane;other membranes;ER/Golgi;other cytoplasmic organelle;other cell component,signal transduction activity or receptor binding;enzyme regulator activity,Allograft Rejection; Complement system; TYROBP causal network in microglia; Cells and molecules involved in local acute inflammatory response ; 16p11.2 distal deletion syndrome; Complement system in neuronal development and plasticity; Acquired partial lipodystrophy / Barraquer-Simons syndrome; Complement activation; Complement and coagulation cascades,Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell; Regulation of Complement cascade; Neutrophil degranulation; Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs); Post-translational protein phosphorylation; G alpha (i) signalling events; Peptide ligand-binding receptors; Purinergic signaling in leishmaniasis infection; Alternative complement activation; Activation of C3 and C5,Neuroactive ligand-receptor interaction; Phagosome; Complement and coagulation cascades; Neutrophil extracellular trap formation; Shigellosis; Pertussis; Legionellosis; Leishmaniasis; Chagas disease; Staphylococcus aureus infection; Tuberculosis; Kaposi sarcoma-associated herpesvirus infection; Herpes simplex virus 1 infection; Coronavirus disease; Viral carcinogenesis; Systemic lupus erythematosus
P22528,Cornifin-B OS=Homo sapiens OX=9606 GN=SPRR1B PE=1 SV=2,Cornifin-B,Homo sapiens,protein metabolism;other metabolic processes;developmental processes;other biological processes,plasma membrane;cytosol;other cell component,other molecular function,Vitamin D receptor pathway,Formation of the cornified envelope,
Q96HC4,PDZ and LIM domain protein 5 OS=Homo sapiens OX=9606 GN=PDLIM5 PE=1 SV=5,PDZ and LIM domain protein 5,Homo sapiens,cell organization and biogenesis;developmental processes;other biological processes,other membranes;cytosol;cytoskeleton;other cell component,cytoskeletal activity;other molecular function,Extracellular vesicles in the crosstalk of cardiac cells,Neurexins and neuroligins,
P39019,40S ribosomal protein S19 OS=Homo sapiens OX=9606 GN=RPS19 PE=1 SV=2,40S ribosomal protein S19,Homo sapiens,cell organization and biogenesis;protein metabolism;RNA metabolism OR transcription;other metabolic processes;stress response;transport;developmental processes;other biological processes,cytosol;translational apparatus;nucleus;other cell component,other molecular function,Complement system; Cytoplasmic ribosomal proteins,"L13a-mediated translational silencing of Ceruloplasmin expression; Translation initiation complex formation; Formation of a pool of free 40S subunits; Formation of the ternary complex, and subsequently, the 43S complex; Ribosomal scanning and start codon recognition; GTP hydrolysis and joining of the 60S ribosomal subunit; Regulation of expression of SLITs and ROBOs; Major pathway of rRNA processing in the nucleolus and cytosol; Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC); SRP-dependent cotranslational protein targeting to membrane; Viral mRNA Translation; Response of EIF2AK4 (GCN2) to amino acid deficiency; Peptide chain elongation; Selenocysteine synthesis; Eukaryotic Translation Termination; Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)",Ribosome; Coronavirus disease
P40199,Carcinoembryonic antigen-related cell adhesion molecule 6 OS=Homo sapiens OX=9606 GN=CEACAM6 PE=1 SV=3,Carcinoembryonic antigen-related cell adhesion molecule 6,Homo sapiens,cell adhesion;transport;signal transduction;other biological processes,non-structural extracellular;plasma membrane;other membranes;other cytoplasmic organelle;other cell component,other molecular function,,Neutrophil degranulation; Cell surface interactions at the vascular wall; Fibronectin matrix formation,
H0YHA7,60S ribosomal protein L18 (Fragment) OS=Homo sapiens OX=9606 GN=RPL18 PE=1 SV=1,60S ribosomal protein L18 (Fragment),Homo sapiens,protein metabolism;other metabolic processes,cytosol;ER/Golgi;translational apparatus;nucleus,other molecular function,,,
H0YJG7,Activator of 90 kDa heat shock protein ATPase homolog 1 (Fragment) OS=Homo sapiens OX=9606 GN=AHSA1 PE=1 SV=1,Activator of 90 kDa heat shock protein ATPase homolog 1 (Fragment),Homo sapiens,,,other molecular function,T-cell antigen receptor (TCR) pathway during Staphylococcus aureus infection,,
Q99832,T-complex protein 1 subunit eta OS=Homo sapiens OX=9606 GN=CCT7 PE=1 SV=2,T-complex protein 1 subunit eta,Homo sapiens,transport;other biological processes,cytosol;cytoskeleton;other cell component,other molecular function,VEGFA-VEGFR2 signaling pathway; 16p11.2 proximal deletion syndrome,Formation of tubulin folding intermediates by CCT/TriC; RHOBTB2 GTPase cycle; RHOBTB1 GTPase cycle; Prefoldin mediated transfer of substrate  to CCT/TriC; Association of TriC/CCT with target proteins during biosynthesis; Cooperation of PDCL (PhLP1) and TRiC/CCT in G-protein beta folding; Folding of actin by CCT/TriC,
G3XAC6,RNA-binding protein 39 OS=Homo sapiens OX=9606 GN=RBM39 PE=1 SV=1,RNA-binding protein 39,Homo sapiens,RNA metabolism OR transcription;other metabolic processes,nucleus,nucleic acid binding activity,,,
Q9UII2,"ATPase inhibitor, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5IF1 PE=1 SV=1","ATPase inhibitor, mitochondrial",Homo sapiens,cell organization and biogenesis;other metabolic processes;stress response;transport;developmental processes;other biological processes,mitochondrion;other cell component,enzyme regulator activity;other molecular function,Electron transport chain: OXPHOS system in mitochondria,,
P08865,40S ribosomal protein SA OS=Homo sapiens OX=9606 GN=RPSA PE=1 SV=4,40S ribosomal protein SA,Homo sapiens,cell adhesion;cell organization and biogenesis;protein metabolism;RNA metabolism OR transcription;other metabolic processes;transport;other biological processes,plasma membrane;other membranes;cytosol;translational apparatus;nucleus;other cell component,translation activity;other molecular function,Cytoplasmic ribosomal proteins,"Regulation of expression of SLITs and ROBOs; L13a-mediated translational silencing of Ceruloplasmin expression; Formation of a pool of free 40S subunits; GTP hydrolysis and joining of the 60S ribosomal subunit; Major pathway of rRNA processing in the nucleolus and cytosol; Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC); SRP-dependent cotranslational protein targeting to membrane; Viral mRNA Translation; Response of EIF2AK4 (GCN2) to amino acid deficiency; Peptide chain elongation; Selenocysteine synthesis; Eukaryotic Translation Termination; Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC); Translation initiation complex formation; Formation of the ternary complex, and subsequently, the 43S complex; Ribosomal scanning and start codon recognition",Ribosome; Coronavirus disease
E9PLL6,60S ribosomal protein L27a OS=Homo sapiens OX=9606 GN=RPL27A PE=1 SV=1,60S ribosomal protein L27a,Homo sapiens,,cytosol;ER/Golgi;translational apparatus,,,,
P45880,Voltage-dependent anion-selective channel protein 2 OS=Homo sapiens OX=9606 GN=VDAC2 PE=1 SV=2,Voltage-dependent anion-selective channel protein 2,Homo sapiens,cell organization and biogenesis;transport;signal transduction;other biological processes,other membranes;mitochondrion;ER/Golgi;other cell component,transporter activity;other molecular function,Alzheimer's disease and miRNA effects; Ferroptosis; Alzheimer's disease,Ub-specific processing proteases; Mitochondrial calcium ion transport,Calcium signaling pathway; cGMP-PKG signaling pathway; Ferroptosis; Necroptosis; Cellular senescence; Neutrophil extracellular trap formation; NOD-like receptor signaling pathway; Cholesterol metabolism; Alzheimer disease; Parkinson disease; Huntington disease; Spinocerebellar ataxia; Prion disease; Pathways of neurodegeneration; Human T-cell leukemia virus 1 infection; Chemical carcinogenesis; Diabetic cardiomyopathy
H3BNC9,40S ribosomal protein S17 OS=Homo sapiens OX=9606 PE=3 SV=2,40S ribosomal protein S17,Homo sapiens,protein metabolism;RNA metabolism OR transcription;other metabolic processes;other biological processes,translational apparatus;other cell component,nucleic acid binding activity;other molecular function,,,
Q15046,Lysine--tRNA ligase OS=Homo sapiens OX=9606 GN=KARS1 PE=1 SV=3,Lysine--tRNA ligase,Homo sapiens,protein metabolism;RNA metabolism OR transcription;other metabolic processes;signal transduction;other biological processes,non-structural extracellular;plasma membrane;other membranes;cytosol;mitochondrion;nucleus;other cell component,nucleic acid binding activity;other molecular function,,Cytosolic tRNA aminoacylation; Selenoamino acid metabolism; Mitochondrial tRNA aminoacylation,Aminoacyl-tRNA biosynthesis
P30085,UMP-CMP kinase OS=Homo sapiens OX=9606 GN=CMPK1 PE=1 SV=3,UMP-CMP kinase,Homo sapiens,other metabolic processes,cytosol;nucleus;other cell component,kinase activity;other molecular function,Pyrimidine metabolism,Interconversion of nucleotide di- and triphosphates,Pyrimidine metabolism; Drug metabolism; Metabolic pathways; Biosynthesis of cofactors
P02786,Transferrin receptor protein 1 OS=Homo sapiens OX=9606 GN=TFRC PE=1 SV=2,Transferrin receptor protein 1,Homo sapiens,cell organization and biogenesis;protein metabolism;other metabolic processes;transport;developmental processes;signal transduction;other biological processes,non-structural extracellular;plasma membrane;other membranes;other cytoplasmic organelle;other cell component,nucleic acid binding activity;other molecular function,Iron metabolism in placenta; Ferroptosis; 3q29 copy number variation syndrome,RHOC GTPase cycle; RND2 GTPase cycle; RHOA GTPase cycle; CDC42 GTPase cycle; RAC1 GTPase cycle; RHOQ GTPase cycle; RHOG GTPase cycle; RAC2 GTPase cycle; RAC3 GTPase cycle; RHOB GTPase cycle; RHOJ GTPase cycle; Golgi Associated Vesicle Biogenesis; RND1 GTPase cycle; Cargo recognition for clathrin-mediated endocytosis; Transferrin endocytosis and recycling; RHOH GTPase cycle,HIF-1 signaling pathway; Endocytosis; Phagosome; Ferroptosis; Hematopoietic cell lineage
F5H423,Uncharacterized protein OS=Homo sapiens OX=9606 PE=3 SV=1,Uncharacterized protein,Homo sapiens,,,other molecular function,,,
A0A2U3TZL5,CD59 glycoprotein (Fragment) OS=Homo sapiens OX=9606 GN=CD59 PE=1 SV=1,CD59 glycoprotein (Fragment),Homo sapiens,other biological processes,plasma membrane;other membranes,,Complement system,,
P23921,Ribonucleoside-diphosphate reductase large subunit OS=Homo sapiens OX=9606 GN=RRM1 PE=1 SV=1,Ribonucleoside-diphosphate reductase large subunit,Homo sapiens,cell cycle OR cell proliferation;cell organization and biogenesis;other metabolic processes;developmental processes;other biological processes,cytosol;nucleus;other cell component,other molecular function,Fluoropyrimidine activity; Retinoblastoma gene in cancer; Pyrimidine metabolism; Nucleotide metabolism,Interconversion of nucleotide di- and triphosphates,Purine metabolism; Pyrimidine metabolism; Glutathione metabolism; Drug metabolism; Metabolic pathways
E5RH77,40S ribosomal protein S14 OS=Homo sapiens OX=9606 GN=RPS14 PE=1 SV=1,40S ribosomal protein S14,Homo sapiens,protein metabolism;other metabolic processes,translational apparatus,other molecular function,,,
Q96BX8,MOB kinase activator 3A OS=Homo sapiens OX=9606 GN=MOB3A PE=1 SV=1,MOB kinase activator 3A,Homo sapiens,,,other molecular function,,,
Q5T7C4,High mobility group protein B1 OS=Homo sapiens OX=9606 GN=HMGB1 PE=1 SV=1,High mobility group protein B1,Homo sapiens,stress response,nucleus;other cell component,nucleic acid binding activity,"Base excision repair; DNA repair pathways, full network; Malignant pleural mesothelioma; DNA damage response (only ATM dependent)",,
P49207,60S ribosomal protein L34 OS=Homo sapiens OX=9606 GN=RPL34 PE=1 SV=3,60S ribosomal protein L34,Homo sapiens,protein metabolism;RNA metabolism OR transcription;other metabolic processes;transport;other biological processes,cytosol;ER/Golgi;translational apparatus,nucleic acid binding activity;other molecular function,Cytoplasmic ribosomal proteins,L13a-mediated translational silencing of Ceruloplasmin expression; Formation of a pool of free 40S subunits; GTP hydrolysis and joining of the 60S ribosomal subunit; Regulation of expression of SLITs and ROBOs; Major pathway of rRNA processing in the nucleolus and cytosol; Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC); SRP-dependent cotranslational protein targeting to membrane; Viral mRNA Translation; Response of EIF2AK4 (GCN2) to amino acid deficiency; Peptide chain elongation; Selenocysteine synthesis; Eukaryotic Translation Termination; Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC),Ribosome; Coronavirus disease
P13688,Carcinoembryonic antigen-related cell adhesion molecule 1 OS=Homo sapiens OX=9606 GN=CEACAM1 PE=1 SV=2,Carcinoembryonic antigen-related cell adhesion molecule 1,Homo sapiens,cell adhesion;cell cycle OR cell proliferation;protein metabolism;other metabolic processes;stress response;transport;developmental processes;signal transduction;other biological processes,plasma membrane;other membranes;ER/Golgi;other cell component,transporter activity;cytoskeletal activity;other molecular function,Vitamin D receptor pathway,Neutrophil degranulation; Cell surface interactions at the vascular wall; Fibronectin matrix formation,
Q9UHV9,Prefoldin subunit 2 OS=Homo sapiens OX=9606 GN=PFDN2 PE=1 SV=1,Prefoldin subunit 2,Homo sapiens,other biological processes,cytosol;mitochondrion;nucleus;other cell component,other molecular function,Cellular proteostasis,Prefoldin mediated transfer of substrate  to CCT/TriC,
Q15691,Microtubule-associated protein RP/EB family member 1 OS=Homo sapiens OX=9606 GN=MAPRE1 PE=1 SV=3,Microtubule-associated protein RP/EB family member 1,Homo sapiens,cell cycle OR cell proliferation;cell organization and biogenesis;other biological processes,plasma membrane;other membranes;cytosol;cytoskeleton;ER/Golgi;other cell component,cytoskeletal activity;other molecular function,Microtubule cytoskeleton regulation,RHO GTPases Activate Formins; Separation of Sister Chromatids; The role of GTSE1 in G2/M progression after G2 checkpoint; Resolution of Sister Chromatid Cohesion; EML4 and NUDC in mitotic spindle formation; Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal; Recruitment of NuMA to mitotic centrosomes; Regulation of PLK1 Activity at G2/M Transition; Loss of Nlp from mitotic centrosomes; Recruitment of mitotic centrosome proteins and complexes; Anchoring of the basal body to the plasma membrane; AURKA Activation by TPX2,
A8MT72,Reticulon OS=Homo sapiens OX=9606 GN=RTN1 PE=1 SV=1,Reticulon,Homo sapiens,,other membranes;ER/Golgi,,,,
